season,batsman,matches,balls_faced,batsman_runs,4s,6s,Avg,SR
2008,SE Marsh,11,441.0,616,59.0,26.0,56.0,139.68
2008,G Gambhir,14,379.0,534,68.0,8.0,38.14,140.9
2008,ST Jayasuriya,14,309.0,514,57.0,31.0,36.71,166.34
2008,SR Watson,15,311.0,472,47.0,19.0,31.47,151.77
2008,GC Smith,11,362.0,441,54.0,8.0,40.09,121.82
2008,AC Gilchrist,14,318.0,436,51.0,19.0,31.14,137.11
2008,YK Pathan,15,243.0,435,43.0,25.0,29.0,179.01
2008,SK Raina,14,295.0,421,35.0,18.0,30.07,142.71
2008,MS Dhoni,14,310.0,414,38.0,15.0,29.57,133.55
2008,V Sehwag,14,220.0,406,46.0,21.0,29.0,184.55
2009,ML Hayden,12,395.0,572,60.0,22.0,47.67,144.81
2009,AC Gilchrist,16,325.0,495,54.0,29.0,30.94,152.31
2009,AB de Villiers,13,355.0,465,39.0,12.0,35.77,130.99
2009,SK Raina,14,308.0,434,37.0,21.0,31.0,140.91
2009,TM Dilshan,13,341.0,418,42.0,13.0,32.15,122.58
2009,JP Duminy,12,325.0,372,26.0,11.0,31.0,114.46
2009,HH Gibbs,14,331.0,371,32.0,12.0,26.5,112.08
2009,BJ Hodge,12,310.0,365,34.0,9.0,30.42,117.74
2009,SR Tendulkar,13,303.0,364,39.0,10.0,28.0,120.13
2009,RG Sharma,16,315.0,362,22.0,18.0,22.62,114.92
2010,SR Tendulkar,15,466.0,618,86.0,3.0,41.2,132.62
2010,JH Kallis,16,494.0,572,67.0,9.0,35.75,115.79
2010,SK Raina,17,367.0,528,45.0,23.0,31.06,143.87
2010,SC Ganguly,14,419.0,493,58.0,15.0,35.21,117.66
2010,M Vijay,15,292.0,458,36.0,26.0,30.53,156.85
2010,DPMD Jayawardene,14,300.0,445,55.0,12.0,31.79,148.33
2010,A Symonds,16,341.0,429,35.0,18.0,26.81,125.81
2010,SS Tiwary,15,309.0,419,29.0,18.0,27.93,135.6
2010,RG Sharma,16,302.0,404,36.0,14.0,25.25,133.77
2010,NV Ojha,14,285.0,377,42.0,15.0,26.93,132.28
2011,CH Gayle,12,332.0,608,57.0,44.0,50.67,183.13
2011,V Kohli,16,460.0,557,55.0,16.0,34.81,121.09
2011,SR Tendulkar,16,488.0,553,67.0,5.0,34.56,113.32
2011,SE Marsh,13,344.0,504,52.0,20.0,38.77,146.51
2011,MEK Hussey,14,414.0,492,53.0,6.0,35.14,118.84
2011,PC Valthaty,14,338.0,463,56.0,20.0,33.07,136.98
2011,SK Raina,16,325.0,438,36.0,17.0,27.38,134.77
2011,M Vijay,16,339.0,434,34.0,20.0,27.12,128.02
2011,V Sehwag,11,240.0,424,51.0,18.0,38.55,176.67
2011,JH Kallis,14,378.0,424,46.0,6.0,30.29,112.17
2012,CH Gayle,14,456.0,733,46.0,59.0,52.36,160.75
2012,G Gambhir,17,411.0,590,64.0,17.0,34.71,143.55
2012,S Dhawan,15,439.0,569,58.0,18.0,37.93,129.61
2012,AM Rahane,16,433.0,560,73.0,10.0,35.0,129.33
2012,V Sehwag,16,307.0,495,57.0,19.0,30.94,161.24
2012,CL White,13,320.0,479,41.0,20.0,36.85,149.69
2012,R Dravid,16,412.0,462,63.0,4.0,28.88,112.14
2012,SK Raina,18,325.0,441,36.0,19.0,24.5,135.69
2012,RG Sharma,16,342.0,433,39.0,18.0,27.06,126.61
2012,Mandeep Singh,16,342.0,432,53.0,7.0,27.0,126.32
2013,MEK Hussey,17,566.0,733,81.0,17.0,43.12,129.51
2013,CH Gayle,18,459.0,720,57.0,52.0,40.0,156.86
2013,V Kohli,17,459.0,639,65.0,22.0,37.59,139.22
2013,SK Raina,17,365.0,548,50.0,18.0,32.24,150.14
2013,SR Watson,16,380.0,543,59.0,22.0,33.94,142.89
2013,RG Sharma,19,409.0,538,35.0,28.0,28.32,131.54
2013,KD Karthik,19,411.0,510,54.0,14.0,26.84,124.09
2013,AM Rahane,18,458.0,488,42.0,11.0,27.11,106.55
2013,R Dravid,17,425.0,471,64.0,5.0,27.71,110.82
2013,MS Dhoni,16,283.0,461,32.0,25.0,28.81,162.9
2014,RV Uthappa,16,479.0,660,74.0,18.0,41.25,137.79
2014,DR Smith,16,416.0,566,50.0,34.0,35.38,136.06
2014,GJ Maxwell,16,294.0,552,48.0,36.0,34.5,187.76
2014,DA Warner,14,375.0,528,39.0,24.0,37.71,140.8
2014,SK Raina,16,359.0,523,51.0,19.0,32.69,145.68
2014,V Sehwag,17,315.0,455,56.0,18.0,26.76,144.44
2014,DA Miller,16,299.0,446,34.0,21.0,27.88,149.16
2014,JP Duminy,14,305.0,410,22.0,20.0,29.29,134.43
2014,MK Pandey,17,343.0,409,35.0,11.0,24.06,119.24
2014,BB McCullum,14,333.0,405,32.0,19.0,28.93,121.62
2015,DA Warner,14,359.0,562,65.0,21.0,40.14,156.55
2015,AM Rahane,13,413.0,540,53.0,13.0,41.54,130.75
2015,LMP Simmons,13,441.0,540,56.0,21.0,41.54,122.45
2015,AB de Villiers,14,293.0,513,60.0,22.0,36.64,175.09
2015,V Kohli,16,386.0,505,35.0,23.0,31.56,130.83
2015,CH Gayle,14,333.0,491,39.0,38.0,35.07,147.45
2015,RG Sharma,16,333.0,482,41.0,21.0,30.12,144.74
2015,SS Iyer,14,342.0,439,41.0,21.0,31.36,128.36
2015,BB McCullum,14,280.0,436,51.0,23.0,31.14,155.71
2015,KA Pollard,14,256.0,419,28.0,28.0,29.93,163.67
2016,V Kohli,16,640.0,973,84.0,38.0,60.81,152.03
2016,DA Warner,17,560.0,848,88.0,31.0,49.88,151.43
2016,AB de Villiers,16,407.0,687,57.0,37.0,42.94,168.8
2016,S Dhawan,17,429.0,501,51.0,8.0,29.47,116.78
2016,G Gambhir,15,411.0,501,54.0,6.0,33.4,121.9
2016,RG Sharma,14,368.0,489,49.0,17.0,34.93,132.88
2016,AM Rahane,14,379.0,480,54.0,9.0,34.29,126.65
2016,M Vijay,14,364.0,453,50.0,10.0,32.36,124.45
2016,Q de Kock,13,327.0,445,52.0,13.0,34.23,136.09
2016,SK Raina,15,312.0,399,39.0,10.0,26.6,127.88
